protein,mll_full,mll_joint,lr
P39835-(GNTT)_sample_8,2.064976729686562,1.3644675071340435,1.401018445105037
P39835-(GNTT)_sample_9,1.6619366005552765,1.231924225900911,0.8600247493087307
P39835-(GNTT)_sample_10,1.6687519707609697,1.1912107139154728,0.9550825136909937
P40191-(PDXK)_sample_1,1.9921755773490961,1.549465971470275,0.8854192117576423
P40191-(PDXK)_sample_2,2.304404972602023,1.6031932936276276,1.4024233579487904
P40191-(PDXK)_sample_3,1.9419618359270214,1.4961404260734346,0.8916428197071737
P40191-(PDXK)_sample_4,2.204028367995103,1.6169785404529733,1.1740996550842593
P40191-(PDXK)_sample_5,2.175111773125964,1.553388826841488,1.243445892568952
P40191-(PDXK)_sample_6,1.887772222702283,1.4638432321984909,0.8478579810075844
P40191-(PDXK)_sample_7,2.593011336999737,1.5814599549592132,2.023102764081048
P40191-(PDXK)_sample_8,1.9100595866425591,1.5092002320785975,0.8017187091279232
P40191-(PDXK)_sample_9,2.2255702370558383,1.5735255104121877,1.3040894532873013
P40191-(PDXK)_sample_10,2.125587645235818,1.4977679373076664,1.2556394158563031
P40710-(NLPE)_sample_1,2.474167884956654,1.608265003625131,1.7318057626630465
P40710-(NLPE)_sample_2,2.5978781429187814,1.6882271840966439,1.819301917644275
P40710-(NLPE)_sample_3,2.7198958048975386,1.7099622977561424,2.0198670142827924
P40710-(NLPE)_sample_4,2.399881371993494,1.6617991030095192,1.4761645379679496
P40710-(NLPE)_sample_5,2.567285463556054,1.6195733878115846,1.895424151488939
P40710-(NLPE)_sample_6,2.555064409455431,1.6645155400583094,1.7810977387942435
P40710-(NLPE)_sample_7,2.5895746823403103,1.632184629437911,1.9147801058047986
P40710-(NLPE)_sample_8,2.6527178022375617,1.6565789275600067,1.99227774935511
P40710-(NLPE)_sample_9,2.7525147387532685,1.778465993945242,1.9480974896160528
P40710-(NLPE)_sample_10,2.4278834661135473,1.5864544777600136,1.6828579767070675
P45544-(FRLR)_sample_1,3.0138459992262074,2.1045921002143024,1.81850779802381
P45544-(FRLR)_sample_2,3.227061553928185,2.144327423533983,2.165468260788404
P45544-(FRLR)_sample_3,3.3255366378468256,2.17236358715126,2.3063461013911315
P45544-(FRLR)_sample_4,2.98663349785623,2.1437585897740288,1.6857498161644022
P45544-(FRLR)_sample_5,2.9889350679970255,2.073356621498285,1.8311568929974813
P45544-(FRLR)_sample_6,2.9321866584620615,2.1256162660736897,1.6131407847767436
P45544-(FRLR)_sample_7,3.246606051793471,2.1776762264457745,2.1378596506953933
P45544-(FRLR)_sample_8,3.42267863263808,2.2925428310165468,2.2602716032430665
P45544-(FRLR)_sample_9,3.0948905998642564,2.141303498612655,1.907174202503203
P45544-(FRLR)_sample_10,3.0741328438500664,2.148816627974948,1.8506324317502365
P50456-(MLC)_sample_1,3.236726505483807,2.16972139662221,2.134010217723193
P50456-(MLC)_sample_2,3.3264981280717656,2.233288710280592,2.186418835582347
P50456-(MLC)_sample_3,3.521721372436311,2.360870134313503,2.3217024762456164
P50456-(MLC)_sample_4,3.374289347519962,2.2133317618093717,2.32191517142118
P50456-(MLC)_sample_5,3.411234056585122,2.2163787917883147,2.3897105295936143
P50456-(MLC)_sample_6,3.3902741005601023,2.239346929952695,2.3018543412148142
P50456-(MLC)_sample_7,3.3586031478594576,2.225128175416416,2.2669499448860835
P50456-(MLC)_sample_8,3.3367956268857237,2.211909538637018,2.2497721764974115
P50456-(MLC)_sample_9,3.5209331250796865,2.322096383561772,2.3976734830358293
P50456-(MLC)_sample_10,3.6813240854689395,2.312750774115934,2.7371466227060113
P61316-(LOLA)_sample_1,1.6238858810871655,1.1742321916070537,0.8993073789602235
P61316-(LOLA)_sample_2,1.6916794065594858,1.1302241348274156,1.1229105434641404
P61316-(LOLA)_sample_3,1.5182130419425441,1.0930898568096907,0.8502463702657068
P61316-(LOLA)_sample_4,1.8751507683704771,1.2282260941655698,1.2938493484098146
P61316-(LOLA)_sample_5,1.8375118989787456,1.2005216483715615,1.2739805012143681
P61316-(LOLA)_sample_6,1.783634050082051,1.1375695215075718,1.292129057148958
P61316-(LOLA)_sample_7,1.6911141113934582,1.1020139427361764,1.1782003373145638
P61316-(LOLA)_sample_8,2.070086445741025,1.351034904500601,1.4381030824808478
P61316-(LOLA)_sample_9,1.9651662123211562,1.3037977887411003,1.3227368471601118
P61316-(LOLA)_sample_10,1.7542366678218446,1.1586508342140918,1.1911716672155057
P61517-(CAN)_sample_1,1.914710336874279,1.31005397314895,1.209312727450658
P61517-(CAN)_sample_2,2.4219501518597664,1.622807711062199,1.5982848815951347
P61517-(CAN)_sample_3,2.034358791339981,1.4124036455678828,1.2439102915441969
P61517-(CAN)_sample_4,2.0777568743397223,1.3898964453929437,1.3757208578935574
P61517-(CAN)_sample_5,2.1412171465759107,1.4867079249861093,1.3090184431796028
P61517-(CAN)_sample_6,2.106896333899734,1.4874457577185856,1.2389011523622968
P61517-(CAN)_sample_7,2.3330542526220155,1.6015522287264228,1.4630040477911854
P61517-(CAN)_sample_8,1.9575911344543322,1.4146189843420658,1.0859443002245328
P61517-(CAN)_sample_9,2.20077778880899,1.505201303395568,1.3911529708268442
P61517-(CAN)_sample_10,2.3347752142403815,1.544243798173998,1.5810628321327669
P64463-(YDFZ)_sample_1,0.947897948476357,0.7488184840899633,0.39815892877278736
P64463-(YDFZ)_sample_2,1.0535487356227942,0.8273772439415461,0.4523429833624961
P64463-(YDFZ)_sample_3,0.9586409591302314,0.7953374385348871,0.3266070411906885
P64463-(YDFZ)_sample_4,1.0910794949286924,0.7770680749727318,0.6280228399119212
P64463-(YDFZ)_sample_5,1.3405264864932795,0.9429970391235684,0.7950588947394224
P64463-(YDFZ)_sample_6,1.2039600954292589,0.8407258838437287,0.7264684231710603
P64463-(YDFZ)_sample_7,1.2593575913521615,0.9049489079803198,0.7088173667436835
P64463-(YDFZ)_sample_8,0.6146862924486428,0.6037807263953848,0.021811132106515974
P64463-(YDFZ)_sample_9,1.0437785717872643,0.8323003578825302,0.4229564278094682
P64463-(YDFZ)_sample_10,1.4197510651478065,0.9942851096439999,0.8509319110076132
P64499-(YEBO)_sample_1,0.8060290782719772,0.6632663284172581,0.2855254997094383
P64499-(YEBO)_sample_2,1.09805499984496,0.8283056807565249,0.5394986381768703
P64499-(YEBO)_sample_3,1.0387346080843631,0.7548158085141133,0.5678375991404996
P64499-(YEBO)_sample_4,0.9902270563359503,0.7064454408958419,0.5675632308802168
P64499-(YEBO)_sample_5,0.824373645476334,0.566411443330611,0.5159244042914459
P64499-(YEBO)_sample_6,0.9407333352320033,0.7267029338446566,0.4280608027746935
P64499-(YEBO)_sample_7,0.8003663559722132,0.6152791914452334,0.37017432905395964
P64499-(YEBO)_sample_8,0.7062938157046562,0.598716900042782,0.21515383132374843
P64499-(YEBO)_sample_9,0.8901212369763936,0.6019312182661777,0.5763800374204318
P64499-(YEBO)_sample_10,0.8760676391432419,0.6644965471400168,0.4231421840064502
P64530-(RCNR)_sample_1,2.3712544199309535,1.685116582808079,1.3722756742457491
P64530-(RCNR)_sample_2,2.423176828944285,1.762540804839485,1.3212720482095999
P64530-(RCNR)_sample_3,2.0892245545053685,1.577222358868635,1.024004391273467
P64530-(RCNR)_sample_4,2.440715225314446,1.666529263760023,1.5483719231088462
P64530-(RCNR)_sample_5,2.301419458774874,1.5622771146416303,1.4782846882664877
P64530-(RCNR)_sample_6,2.3011103521843532,1.6328188966796175,1.3365829110094714
P64530-(RCNR)_sample_7,2.2939914669186567,1.5809554066632772,1.4260721205107592
P64530-(RCNR)_sample_8,2.6139504933704627,1.7949307398207632,1.638039507099399
P64530-(RCNR)_sample_9,2.651812084404695,1.8549348966815913,1.5937543754462071
P64530-(RCNR)_sample_10,2.750909582239146,1.8160385881232746,1.8697419882317425
P64540-(YFCL)_sample_1,1.5159693652843542,1.0998867875721756,0.8321651554243572
P64540-(YFCL)_sample_2,1.6704915328025198,1.1585800933104489,1.023822878984142
P64540-(YFCL)_sample_3,1.4971327704462238,1.0895596054425571,0.8151463300073334
P64540-(YFCL)_sample_4,1.4411862095131553,1.0220378920645028,0.8382966348973051
P64540-(YFCL)_sample_5,1.6311571838504293,1.040617962603135,1.1810784424945884
P64540-(YFCL)_sample_6,1.620963443605098,1.0891149317059425,1.0636970237983108
P64540-(YFCL)_sample_7,1.2517944772200842,0.9400491331992225,0.6234906880417235
P64540-(YFCL)_sample_8,1.8490298302472423,1.2555235678787222,1.1870125247370402
P64540-(YFCL)_sample_9,1.7272463517033645,1.1691768957433013,1.1161389119201264
